name,iata
Берёзово,EZV
Апука,АПУ
Орск,OSW
Кодинск,KNY
Чебоксары,CSY
Сабетта,SBT
Эконда,ЭКО
Ленск,ULK
Колекъеган,КЛК
Тамбов,TBW
Чокурдах,CKH
Белорецк,BCX
Хатанга,HTG
Кускургуль,КГЬ
Смирных,СМХ
Хабаровск,KHV
Тутончаны,ТНЧ
Каменское,КДУ
Волгодонск,VLK
Белокуриха,БИХ
Мама,МАМ
Оренбург,REN
Вуктыл,ВТЛ
Бурный,БУЫ
Эгвекинот,ЭГТ
Чемдальск,ЧЕМ
Советский,OVS
Варандей,VRI
Норильск,NSK
Кузьмовка,КЗВ
Большой Ларьяк,БОК
Светлый [ПРУ],СЛЙ
Набережные Челны (Нижнекамск),NBC
Ямбург,ЯМБ
Тигиль,ТИГ
Маган,GYG
Марково,МКО
Кедровый,КДД
Ванавара,VAQ
Лайтамак,ЛАЙ
Иваново,IWA
Дальнереченск,ДЛЧ
Соболево,СБО
Никольское,НИК
Рыбинск,RYB
Суломай,САЙ
Удачный,PYJ
Ярцево,YAE
Анадырь,DYR
Усть-Камчатск,УКЧ
Учами,УМИ
Вагай,ВАГ
Ижевск,IJK
Урай,URJ
Нижний Новгород,GOJ
Усть-Нера,USR
Туруханск,THX
Итуруп,ITU
Игрим,IRM
Батагай-Алыта,SUK
Максимовка,МКИ
Средние Пахачи,СПХ
Дальнегорск,DHG
Брянск,BZK
Печора,PEX
Чегдомын,ЧГД
Радужный,RAT
Череповец,CEE
Петрозаводск,PES
Уфа,UFA
Калининград,KGD
Саранск,SKX
Эвенск,SWV
Санкт-Петербург,LED
Полины Осипенко,ПОС
Таксимо,TKM
Диксон,DKS
Талакан,TLK
Ульяновск,ULY
Железноводск,ЖЛН
Нягань,NYA
Усть-Цильма,UTS
Кослан,КОС
Азау,АЗА
Великий Устюг,VUS
Усть-Кут,UKX
Владимир,ВЛМ
Пластун,TLY
Йошкар-Ола,JOK
,СМГ
Итуруп,BVV
Кепервеем,KPW
Мурманск,MMK
Белгород,EGO
Омолон,ООЛ
Усть-Куйга,UKG
Магас,IGT
Липецк,LPK
Чумикан,ЧМИ
Иркутск,IKT
Усть-Коликъеган,УТЕ
Мыс-Каменный,YMK
Черский,CYX
Воронеж,VOZ
Благовещенск,BQS
Рязань,RZN
Ербогачён,ERG
Киров,KVX
Охотск,OHO
Лешуконское,LDG
Тикси,IKS
Тверь,KLD
Омсукчан,ОСУ
Чкаловский,CKL
Былино,БЫЛ
Хонуу,MQJ
Корлики,КИЮ
Усинск,USK
Магдагачи,GDG
Северо-Курильск,СКР
Таловка,ТЛО
Октябрьский,OKT
Владикавказ,OGZ
Покур,ПУР
Нерюнгри,NER
Ростов-на-Дону,ROV
Псков,PKV
Надым,NYM
